,State,County_Name,Party,Race_Code,Ethnic_Code,Total_Voters,Election_Date
0,NC,MECKLENBURG,DEM,B,NL,4,2022-07-26
1,NC,MECKLENBURG,DEM,B,NL,14,2022-07-26
2,NC,MECKLENBURG,DEM,B,NL,6,2022-07-26
3,NC,MECKLENBURG,DEM,B,NL,1,2022-07-26
4,NC,MECKLENBURG,DEM,B,NL,8,2022-07-26
5,NC,MECKLENBURG,DEM,B,NL,1,2022-07-26
6,NC,MECKLENBURG,DEM,B,UN,3,2022-07-26
7,NC,MECKLENBURG,DEM,B,UN,3,2022-07-26
8,NC,MECKLENBURG,DEM,B,UN,1,2022-07-26
9,NC,MECKLENBURG,DEM,B,UN,1,2022-07-26
10,NC,MECKLENBURG,DEM,U,UN,1,2022-07-26
11,NC,MECKLENBURG,REP,B,NL,1,2022-07-26
12,NC,MECKLENBURG,UNA,B,NL,1,2022-07-26
13,NC,MECKLENBURG,DEM,A,NL,1,2022-07-26
14,NC,MECKLENBURG,DEM,W,NL,1,2022-07-26
15,NC,MECKLENBURG,DEM,W,NL,1,2022-07-26
16,NC,MECKLENBURG,DEM,W,UN,2,2022-07-26
17,NC,MECKLENBURG,REP,W,NL,2,2022-07-26
18,NC,MECKLENBURG,REP,W,UN,1,2022-07-26
19,NC,MECKLENBURG,REP,W,UN,1,2022-07-26
20,NC,MECKLENBURG,UNA,A,NL,1,2022-07-26
21,NC,MECKLENBURG,UNA,M,NL,1,2022-07-26
22,NC,MECKLENBURG,UNA,U,UN,1,2022-07-26
23,NC,MECKLENBURG,UNA,W,NL,1,2022-07-26
24,NC,MECKLENBURG,UNA,W,NL,2,2022-07-26
25,NC,MECKLENBURG,UNA,W,NL,4,2022-07-26
26,NC,MECKLENBURG,UNA,W,UN,1,2022-07-26
27,NC,MECKLENBURG,DEM,A,NL,1,2022-07-26
28,NC,MECKLENBURG,DEM,B,NL,1,2022-07-26
29,NC,MECKLENBURG,DEM,B,NL,1,2022-07-26
30,NC,MECKLENBURG,DEM,M,NL,1,2022-07-26
31,NC,MECKLENBURG,DEM,M,NL,1,2022-07-26
32,NC,MECKLENBURG,DEM,U,NL,1,2022-07-26
33,NC,MECKLENBURG,DEM,U,UN,1,2022-07-26
34,NC,MECKLENBURG,DEM,U,UN,1,2022-07-26
35,NC,MECKLENBURG,DEM,U,UN,2,2022-07-26
36,NC,MECKLENBURG,DEM,W,NL,1,2022-07-26
37,NC,MECKLENBURG,DEM,W,NL,8,2022-07-26
38,NC,MECKLENBURG,DEM,W,NL,8,2022-07-26
39,NC,MECKLENBURG,DEM,W,NL,1,2022-07-26
40,NC,MECKLENBURG,DEM,W,NL,3,2022-07-26
41,NC,MECKLENBURG,DEM,W,NL,3,2022-07-26
42,NC,MECKLENBURG,DEM,W,UN,1,2022-07-26
43,NC,MECKLENBURG,DEM,W,UN,1,2022-07-26
44,NC,MECKLENBURG,DEM,W,UN,1,2022-07-26
45,NC,MECKLENBURG,UNA,W,NL,1,2022-07-26
46,NC,MECKLENBURG,REP,W,NL,3,2022-07-26
47,NC,MECKLENBURG,REP,W,NL,5,2022-07-26
48,NC,MECKLENBURG,REP,W,NL,9,2022-07-26
49,NC,MECKLENBURG,REP,W,UN,1,2022-07-26
50,NC,MECKLENBURG,REP,W,UN,1,2022-07-26
51,NC,MECKLENBURG,REP,W,UN,1,2022-07-26
52,NC,MECKLENBURG,REP,W,UN,1,2022-07-26
53,NC,MECKLENBURG,REP,W,UN,1,2022-07-26
54,NC,MECKLENBURG,UNA,A,NL,1,2022-07-26
55,NC,MECKLENBURG,UNA,B,NL,1,2022-07-26
56,NC,MECKLENBURG,UNA,B,NL,1,2022-07-26
57,NC,MECKLENBURG,UNA,B,UN,1,2022-07-26
58,NC,MECKLENBURG,UNA,U,UN,2,2022-07-26
59,NC,MECKLENBURG,UNA,U,UN,2,2022-07-26
60,NC,MECKLENBURG,UNA,W,NL,5,2022-07-26
61,NC,MECKLENBURG,UNA,W,NL,11,2022-07-26
62,NC,MECKLENBURG,UNA,W,NL,1,2022-07-26
63,NC,MECKLENBURG,UNA,W,NL,9,2022-07-26
64,NC,MECKLENBURG,UNA,W,NL,11,2022-07-26
65,NC,MECKLENBURG,UNA,W,UN,1,2022-07-26
66,NC,MECKLENBURG,UNA,W,UN,2,2022-07-26
67,NC,MECKLENBURG,UNA,W,UN,1,2022-07-26
68,NC,MECKLENBURG,DEM,A,NL,1,2022-07-26
69,NC,MECKLENBURG,DEM,A,NL,1,2022-07-26
70,NC,MECKLENBURG,DEM,B,HL,1,2022-07-26
71,NC,MECKLENBURG,DEM,B,NL,2,2022-07-26
72,NC,MECKLENBURG,DEM,B,NL,2,2022-07-26
73,NC,MECKLENBURG,DEM,B,NL,2,2022-07-26
74,NC,MECKLENBURG,DEM,B,NL,1,2022-07-26
75,NC,MECKLENBURG,DEM,B,UN,1,2022-07-26
76,NC,MECKLENBURG,DEM,M,HL,1,2022-07-26
77,NC,MECKLENBURG,DEM,O,UN,1,2022-07-26
78,NC,MECKLENBURG,DEM,U,HL,1,2022-07-26
79,NC,MECKLENBURG,DEM,U,HL,1,2022-07-26
80,NC,MECKLENBURG,DEM,W,NL,11,2022-07-26
81,NC,MECKLENBURG,DEM,W,NL,13,2022-07-26
82,NC,MECKLENBURG,DEM,W,NL,8,2022-07-26
83,NC,MECKLENBURG,DEM,W,NL,8,2022-07-26
84,NC,MECKLENBURG,DEM,W,UN,3,2022-07-26
85,NC,MECKLENBURG,DEM,W,UN,7,2022-07-26
86,NC,MECKLENBURG,REP,A,NL,1,2022-07-26
87,NC,MECKLENBURG,REP,A,UN,1,2022-07-26
88,NC,MECKLENBURG,REP,I,NL,1,2022-07-26
89,NC,MECKLENBURG,REP,O,NL,1,2022-07-26
90,NC,MECKLENBURG,REP,U,UN,2,2022-07-26
91,NC,MECKLENBURG,REP,W,NL,7,2022-07-26
92,NC,MECKLENBURG,REP,W,NL,23,2022-07-26
93,NC,MECKLENBURG,REP,W,NL,7,2022-07-26
94,NC,MECKLENBURG,REP,W,NL,20,2022-07-26
95,NC,MECKLENBURG,REP,W,UN,3,2022-07-26
96,NC,MECKLENBURG,REP,W,UN,2,2022-07-26
97,NC,MECKLENBURG,UNA,B,NL,1,2022-07-26
98,NC,MECKLENBURG,UNA,B,NL,1,2022-07-26
99,NC,MECKLENBURG,UNA,B,NL,1,2022-07-26
100,NC,MECKLENBURG,UNA,B,NL,2,2022-07-26
101,NC,MECKLENBURG,UNA,I,NL,2,2022-07-26
102,NC,MECKLENBURG,UNA,O,HL,1,2022-07-26
103,NC,MECKLENBURG,UNA,O,NL,1,2022-07-26
104,NC,MECKLENBURG,UNA,U,UN,1,2022-07-26
105,NC,MECKLENBURG,UNA,U,UN,2,2022-07-26
106,NC,MECKLENBURG,UNA,W,NL,10,2022-07-26
107,NC,MECKLENBURG,UNA,W,NL,16,2022-07-26
108,NC,MECKLENBURG,UNA,W,NL,12,2022-07-26
109,NC,MECKLENBURG,UNA,W,NL,11,2022-07-26
110,NC,MECKLENBURG,UNA,W,UN,3,2022-07-26
111,NC,MECKLENBURG,UNA,W,UN,1,2022-07-26
112,NC,MECKLENBURG,UNA,W,UN,1,2022-07-26
113,NC,MECKLENBURG,DEM,A,NL,1,2022-07-26
114,NC,MECKLENBURG,DEM,B,NL,1,2022-07-26
115,NC,MECKLENBURG,DEM,B,NL,5,2022-07-26
116,NC,MECKLENBURG,DEM,B,NL,2,2022-07-26
117,NC,MECKLENBURG,DEM,B,NL,1,2022-07-26
118,NC,MECKLENBURG,DEM,B,NL,2,2022-07-26
119,NC,MECKLENBURG,DEM,B,NL,2,2022-07-26
120,NC,MECKLENBURG,DEM,B,UN,2,2022-07-26
121,NC,MECKLENBURG,DEM,B,UN,1,2022-07-26
122,NC,MECKLENBURG,DEM,B,UN,1,2022-07-26
123,NC,MECKLENBURG,DEM,O,NL,1,2022-07-26
124,NC,MECKLENBURG,DEM,O,UN,1,2022-07-26
125,NC,MECKLENBURG,DEM,U,UN,1,2022-07-26
126,NC,MECKLENBURG,DEM,W,HL,1,2022-07-26
127,NC,MECKLENBURG,DEM,W,NL,7,2022-07-26
