FLORIDA DEPARTMENT OF STATE,,,,,,,,,,
DIVISION OF ELECTIONS,,,,,,,,,,
2022 General Election,,,,,,,,,,
Active Registered Voters by Party and Race,,,,,,,,,,
" Book Closing: October 11, 2022",,,,,,,,,,
"Statistics Generated: October 20, 2022 at 9:00 PM",,,,,,,,,,
,,,,,,,,,,
Party Name,County Name,American Indian or Alaskan Native,Asian or Pacific Islander,"Black, Not Hispanic",Hispanic,"White, Not Hispanic",Other,Multi-Racial,Unknown,Total
Republican Party of Florida                                        ,Alachua                  ,168,"1,071",968,"2,720","42,176","1,039",180,326,"48,648"
Republican Party of Florida                                        ,Baker                    ,57,56,72,130,"10,636",84,19,82,"11,136"
Republican Party of Florida                                        ,Bay                      ,311,945,581,"1,294","62,423",570,123,929,"67,176"
Republican Party of Florida                                        ,Bradford                 ,35,39,95,113,"9,652",70,19,61,"10,084"
Republican Party of Florida                                        ,Brevard                  ,701,"3,070","1,983","8,660","176,889","2,262",506,"1,935","196,006"
Republican Party of Florida                                        ,Broward                  ,727,"5,682","9,301","66,533","170,907","7,390","1,043","4,470","266,053"
Republican Party of Florida                                        ,Calhoun                  ,37,12,20,43,"3,724",22,17,52,"3,927"
Republican Party of Florida                                        ,Charlotte                ,237,705,370,"1,904","68,393",681,72,580,"72,942"
Republican Party of Florida                                        ,Citrus                   ,224,590,255,"1,474","60,927",719,114,462,"64,765"
Republican Party of Florida                                        ,Clay                     ,372,"1,935","1,354","3,369","78,556","1,000",306,"1,033","87,925"
Republican Party of Florida                                        ,Collier                  ,206,"1,122",698,"10,359","115,445","1,464",142,970,"130,406"
Republican Party of Florida                                        ,Columbia                 ,99,149,255,610,"20,863",129,37,181,"22,323"
Republican Party of Florida                                        ,DeSoto                   ,24,36,66,365,"7,055",47,5,36,"7,634"
Republican Party of Florida                                        ,Dixie                    ,30,20,31,86,"5,944",29,16,35,"6,191"
Republican Party of Florida                                        ,Duval                    ,885,"8,203","6,955","10,103","196,599","3,327",792,"3,280","230,144"
Republican Party of Florida                                        ,Escambia                 ,821,"2,542","1,690","1,952","89,540","1,163",277,"1,171","99,156"
Republican Party of Florida                                        ,Flagler                  ,142,610,385,"1,828","39,036",600,72,494,"43,167"
Republican Party of Florida                                        ,Franklin                 ,15,8,13,24,"3,487",12,5,24,"3,588"
Republican Party of Florida                                        ,Gadsden                  ,22,29,231,145,"4,935",50,9,58,"5,479"
Republican Party of Florida                                        ,Gilchrist                ,18,18,26,117,"7,582",48,4,38,"7,851"
Republican Party of Florida                                        ,Glades                   ,50,7,17,232,"3,231",15,10,20,"3,582"
Republican Party of Florida                                        ,Gulf                     ,20,18,37,39,"5,733",31,5,46,"5,929"
Republican Party of Florida                                        ,Hamilton                 ,10,19,68,87,"3,106",22,1,10,"3,323"
Republican Party of Florida                                        ,Hardee                   ,19,28,45,787,"5,680",45,21,58,"6,683"
Republican Party of Florida                                        ,Hendry                   ,42,48,118,"2,024","5,758",102,34,50,"8,176"
Republican Party of Florida                                        ,Hernando                 ,262,543,437,"4,159","59,771",609,156,676,"66,613"
Republican Party of Florida                                        ,Highlands                ,127,301,276,"2,500","29,773",262,43,253,"33,535"
Republican Party of Florida                                        ,Hillsborough             ,871,"6,995","5,685","37,098","229,484","3,534",893,"5,511","290,071"
Republican Party of Florida                                        ,Holmes                   ,47,29,27,43,"7,450",25,9,31,"7,661"
Republican Party of Florida                                        ,Indian River             ,121,386,483,"1,884","53,673",563,69,566,"57,745"
Republican Party of Florida                                        ,Jackson                  ,88,55,191,177,"13,512",106,29,142,"14,300"
Republican Party of Florida                                        ,Jefferson                ,16,13,38,41,"3,880",16,5,18,"4,027"
Republican Party of Florida                                        ,Lafayette                ,4,8,33,74,"3,007",6,12,3,"3,147"
Republican Party of Florida                                        ,Lake                     ,386,"1,305","1,287","7,301","107,770","1,263",306,"1,315","120,933"
Republican Party of Florida                                        ,Lee                      ,529,"2,014","1,606","16,607","200,737","1,550",399,"3,230","226,672"
