county_desc	precinct_abbrv	vtd_abbrv	age	party_cd	race_code	ethnic_code	sex_code	total_voters	election_date	stats_type	update_date	voting_method	voting_method_desc	voted_party_cd
MECKLENBURG	056	056	Age Over 66	DEM	B	NL	F	4	07/26/2022	history	08/10/2022	U	ABS-CURB	DEM
MECKLENBURG	056	056	Age Over 66	DEM	B	NL	F	14	07/26/2022	history	08/10/2022	V	IN-PERSON	DEM
MECKLENBURG	056	056	Age Over 66	DEM	B	NL	M	6	07/26/2022	history	08/10/2022	O	ABS-1STOP	DEM
MECKLENBURG	056	056	Age Over 66	DEM	B	NL	M	1	07/26/2022	history	08/10/2022	U	ABS-CURB	DEM
MECKLENBURG	056	056	Age Over 66	DEM	B	NL	M	8	07/26/2022	history	08/10/2022	V	IN-PERSON	DEM
MECKLENBURG	056	056	Age Over 66	DEM	B	NL	U	1	07/26/2022	history	08/10/2022	O	ABS-1STOP	DEM
MECKLENBURG	056	056	Age Over 66	DEM	B	UN	F	3	07/26/2022	history	08/10/2022	O	ABS-1STOP	DEM
MECKLENBURG	056	056	Age Over 66	DEM	B	UN	F	3	07/26/2022	history	08/10/2022	V	IN-PERSON	DEM
MECKLENBURG	056	056	Age Over 66	DEM	B	UN	M	1	07/26/2022	history	08/10/2022	O	ABS-1STOP	DEM
MECKLENBURG	056	056	Age Over 66	DEM	B	UN	U	1	07/26/2022	history	08/10/2022	M	ABS-MAIL	DEM
MECKLENBURG	056	056	Age Over 66	DEM	U	UN	F	1	07/26/2022	history	08/10/2022	U	ABS-CURB	DEM
MECKLENBURG	056	056	Age Over 66	REP	B	NL	M	1	07/26/2022	history	08/10/2022	O	ABS-1STOP	REP
MECKLENBURG	056	056	Age Over 66	UNA	B	NL	M	1	07/26/2022	history	08/10/2022	O	ABS-1STOP	UNA
MECKLENBURG	057	057	Age 18 - 25	DEM	A	NL	F	1	07/26/2022	history	08/10/2022	V	IN-PERSON	DEM
MECKLENBURG	057	057	Age 18 - 25	DEM	W	NL	F	1	07/26/2022	history	08/10/2022	M	ABS-MAIL	DEM
MECKLENBURG	057	057	Age 18 - 25	DEM	W	NL	F	1	07/26/2022	history	08/10/2022	O	ABS-1STOP	DEM
MECKLENBURG	057	057	Age 18 - 25	DEM	W	UN	F	2	07/26/2022	history	08/10/2022	V	IN-PERSON	DEM
MECKLENBURG	057	057	Age 18 - 25	REP	W	NL	F	2	07/26/2022	history	08/10/2022	V	IN-PERSON	REP
MECKLENBURG	057	057	Age 18 - 25	REP	W	UN	M	1	07/26/2022	history	08/10/2022	O	ABS-1STOP	REP
MECKLENBURG	057	057	Age 18 - 25	REP	W	UN	U	1	07/26/2022	history	08/10/2022	V	IN-PERSON	REP
MECKLENBURG	057	057	Age 18 - 25	UNA	A	NL	F	1	07/26/2022	history	08/10/2022	V	IN-PERSON	UNA
MECKLENBURG	057	057	Age 18 - 25	UNA	M	NL	M	1	07/26/2022	history	08/10/2022	V	IN-PERSON	UNA
MECKLENBURG	057	057	Age 18 - 25	UNA	U	UN	U	1	07/26/2022	history	08/10/2022	V	IN-PERSON	UNA
MECKLENBURG	057	057	Age 18 - 25	UNA	W	NL	F	1	07/26/2022	history	08/10/2022	V	IN-PERSON	UNA
MECKLENBURG	057	057	Age 18 - 25	UNA	W	NL	M	2	07/26/2022	history	08/10/2022	O	ABS-1STOP	UNA
MECKLENBURG	057	057	Age 18 - 25	UNA	W	NL	M	4	07/26/2022	history	08/10/2022	V	IN-PERSON	UNA
MECKLENBURG	057	057	Age 18 - 25	UNA	W	UN	F	1	07/26/2022	history	08/10/2022	O	ABS-1STOP	UNA
MECKLENBURG	057	057	Age 26 - 40	DEM	A	NL	M	1	07/26/2022	history	08/10/2022	U	ABS-CURB	DEM
MECKLENBURG	057	057	Age 26 - 40	DEM	B	NL	F	1	07/26/2022	history	08/10/2022	O	ABS-1STOP	DEM
MECKLENBURG	057	057	Age 26 - 40	DEM	B	NL	F	1	07/26/2022	history	08/10/2022	V	IN-PERSON	DEM
MECKLENBURG	057	057	Age 26 - 40	DEM	M	NL	F	1	07/26/2022	history	08/10/2022	O	ABS-1STOP	DEM
